series number,product type,model,repair operation number,previous repair operation number,time since previous repair,censored,age after repair,Component A,Component B,Component C,Component D,Component E,Component F,Component H,Component I,Component J,Component K
sn_006979,product A,V1E3,po_011831,po_011830,1398,1,15766,0,0,0,0,0,0,0,0,0,0
sn_006980,product A,V1E1,po_011832,MFG,9318,0,9318,0,0,0,0,1,0,0,0,0,0
sn_006980,product A,V1E2,po_011833,po_011832,6614,1,15882,0,0,0,0,0,0,0,0,0,0
sn_006981,product A,V1E1,po_011834,MFG,9014,0,9014,0,1,0,0,1,0,0,0,0,0
sn_006981,product A,V1E2,po_011835,po_011834,1790,0,10754,0,0,0,0,0,1,0,0,0,0
sn_006981,product A,V1E2,po_011836,po_011835,1038,0,11742,0,0,0,0,0,0,0,0,0,0
sn_006981,product A,V1E2,po_011837,po_011836,4058,1,15750,0,0,0,0,0,0,0,0,0,0
sn_006982,product A,V1E1,po_011838,MFG,6306,0,6306,0,0,0,0,0,0,0,0,0,0
sn_006982,product A,V1E1,po_011839,po_011838,9626,1,15882,0,0,0,0,0,0,0,0,0,0
sn_006983,product A,V1E1,po_011840,MFG,15874,1,15874,0,0,0,0,0,0,0,0,0,0
sn_006984,product A,V1E1,po_011841,MFG,7778,0,7778,0,0,0,0,1,0,0,0,0,0
sn_006984,product A,V1E2,po_011842,po_011841,2654,0,10382,0,0,0,0,0,0,0,0,0,0
sn_006984,product A,V1E2,po_011843,po_011842,5506,1,15838,0,0,0,0,0,0,0,0,0,0
sn_006985,product A,V1E1,po_011844,MFG,15870,1,15870,0,0,0,0,0,0,0,0,0,0
sn_006986,product A,V1E1,po_011845,MFG,8138,0,8138,0,0,0,0,1,0,0,0,0,0
sn_006986,product A,V1E2,po_011846,po_011845,7686,0,15774,0,0,0,0,0,0,0,0,0,0
sn_006986,product A,V1E2,po_011847,po_011846,114,1,15838,0,0,0,0,0,0,0,0,0,0
sn_006987,product A,V1E1,po_011848,MFG,3006,0,3006,0,0,0,0,1,0,1,0,0,0
sn_006987,product A,V1E1,po_011849,po_011848,1334,0,4290,0,0,0,0,1,0,0,0,0,0
sn_006987,product A,V1E2,po_011850,po_011849,11530,1,15770,0,0,0,0,0,0,0,0,0,0
sn_006988,product A,V1E1,po_011851,MFG,8278,0,8278,0,0,0,0,1,0,0,0,0,0
sn_006988,product A,V1E2,po_011852,po_011851,7638,1,15866,0,0,0,0,0,0,0,0,0,0
sn_006989,product A,V1E1,po_011853,MFG,3938,0,3938,0,0,0,0,1,0,0,0,0,0
sn_006989,product A,V1E2,po_011854,po_011853,3994,0,7882,0,0,0,0,1,0,0,0,0,0
sn_006989,product A,V1E2,po_011855,po_011854,4726,0,12558,0,0,0,0,1,0,0,0,0,0
sn_006989,product A,V1E3,po_011856,po_011855,3162,1,15670,0,0,0,0,0,0,0,0,0,0
sn_006990,product A,V1E1,po_011857,MFG,15850,1,15850,0,0,0,0,0,0,0,0,0,0
sn_006991,product A,V1E1,po_011858,MFG,15846,1,15846,0,0,0,0,0,0,0,0,0,0
sn_006992,product B,V1E2,po_011859,po_011860,3614,1,3614,0,0,0,0,1,0,0,0,0,0
sn_006992,product A,V1E1,po_011860,MFG,9162,0,12726,0,1,0,0,1,1,0,0,0,1
sn_006992,product A,V1E2,po_011861,po_011860,6738,1,19414,0,0,0,0,0,0,0,0,0,0
sn_006993,product B,V1E2,po_011862,po_011863,98,0,98,0,0,0,0,0,0,0,0,0,0
sn_006993,product A,V1E1,po_011863,MFG,4282,0,4330,0,0,0,0,1,0,0,0,0,0
sn_006993,product A,V1E2,po_011864,po_011862,2858,0,7138,0,0,0,0,1,0,0,0,0,1
sn_006993,product A,V1E2,po_011865,po_011864,3986,0,11074,0,0,0,0,1,0,0,0,0,0
sn_006993,product A,V1E2,po_011866,po_011865,4458,1,15482,0,0,0,0,0,0,0,0,0,0
